REVIEW_TOTALS,REVIEW_SENTIMENT,AGGREGATION_DATE,WOW,DATE_SENTIMENT_ID
191,negative,2021-10-14,-15.11,d4999db56a875159b1de6c798b5e793c
191,negative,2021-10-15,-17.67,9a6e5a5de51d93a618f0040df4840f04
176,negative,2021-10-16,-19.27,866754a87a0711c48856816908d88207
162,negative,2021-10-17,-23.94,11b4aa3a3ac542a68f8d9f0576ae0c4c
149,negative,2021-10-18,-28.71,dc281d0a51aa62dd79e93195417e4aed
147,negative,2021-10-19,-25.38,0f3e314658a940e95f79d50e346db816
138,negative,2021-10-20,-27.75,821a693454d4890e29ef802e2554dbcf
125,negative,2021-10-21,-34.55,b30c522ff3a99efd78276ea0327fb34b
101,negative,2021-10-22,-42.61,b0b9fbf32eed3e5d8bd101eddb07555f
671,positive,2021-07-07,10.36,25892068c50f0c15956aef1c9b8339d5
681,positive,2021-07-08,12.94,a130150624f7dbe6b17bfe010e6f3d6a
706,positive,2021-07-09,15.74,197197e41a9be1580187dcaf25f3a994
762,positive,2021-07-10,15.28,954122154f804334be976444704ea707
770,positive,2021-07-11,15.27,d769d1ffbd401771ae2d6c7a0ec5310f
772,positive,2021-07-12,12.54,53fd914875edac39264f818ad29c27bf
770,positive,2021-07-13,14.75,cd588c24ba8e64d06c17aeca77c0d6fa
778,positive,2021-07-14,14.24,6546fe40a26f74d689c2b0a6a77df745
783,positive,2021-07-15,10.91,8f9b63d95059fd1d6c36ec8ff1ab8952
804,positive,2021-07-16,5.51,9e1e8d8bc65c9f7251292023009f9104
783,positive,2021-07-17,1.69,a006f7e4d022144125092e23883eb053
820,positive,2021-07-18,6.22,680c17cb734e83965179fb4bd81724c4
850,positive,2021-07-19,10.39,3548eee75e402f6cfe6adc590e52e140
869,positive,2021-07-20,11.7,aca0e64f63a30e249449032fd273543c
888,positive,2021-07-21,13.41,77003a5997e2e3ce2cbf7bddc56f89b2
885,positive,2021-07-22,10.07,2ab5b47c73945340344ed823f6d3f08d
925,positive,2021-07-23,18.14,a96d033c6c89da39e7a409a02c7718f0
920,positive,2021-07-24,12.2,512d639b250e34fb099cc9844d2bc29c
910,positive,2021-07-25,7.06,836ea287c06ec81c2dd7d472e9d36faf
934,positive,2021-07-26,7.48,57d3ea011294730145aa43c0d730bbc4
960,positive,2021-07-27,8.11,d7f6349330fd72b754bdda6a8fc5bebd
965,positive,2021-07-28,9.04,58c00a2771fce367f2dde51d0bcd5cfd
1003,positive,2021-07-29,8.43,6b4068d5dd5ab2f0f7065e4184a4c3b4
995,positive,2021-07-30,8.15,0b5a9dc541f4687b08b711606121f7e5
1061,positive,2021-07-31,16.59,8a98ff651351a8b64509a51e7bafc998
1088,positive,2021-08-01,16.49,bc488c745a5bb23c37bb3d0c62cd6ad8
1099,positive,2021-08-02,14.48,e37a6c8c347e0b30af861bae922c3595
1093,positive,2021-08-03,13.26,c32a3493de537f7c7211a21c5db29a56
1099,positive,2021-08-04,9.57,f0c66ec7923cc5e8b254a4a7410c0b2d
1085,positive,2021-08-05,9.05,f1ad20a42747dd4a723f8fdcd2ceb239
1069,positive,2021-08-06,0.75,e16a7000f1a53df66e0ee84ac31c643b
