LISTING_ID,LISTING_NAME,LISTING_URL,ROOM_TYPE,MINIMUM_NIGHTS,HOST_ID,PRICE_STR,CREATED_AT,UPDATED_AT
3176,Fabulous Flat in great Location,https://www.airbnb.com/rooms/3176,Entire home/apt,62,3718,$90.00,2009-06-05 21:34:42,2009-06-05 21:34:42
7071,BrightRoom with sunny greenview!,https://www.airbnb.com/rooms/7071,Private room,1,17391,$33.00,2009-08-12 12:30:30,2009-08-12 12:30:30
9991,Geourgeous flat - outstanding views,https://www.airbnb.com/rooms/9991,Entire home/apt,0,33852,$180.00,2015-07-30 05:08:52,2015-07-30 05:08:52
14325,Apartment in Prenzlauer Berg,https://www.airbnb.com/rooms/14325,Entire home/apt,95,55531,$70.00,2010-06-15 19:56:01,2010-06-15 19:56:01
16644,In the Heart of Berlin - Kreuzberg,https://www.airbnb.com/rooms/16644,Entire home/apt,60,64696,$90.00,2010-05-30 12:11:33,2010-05-30 12:11:33
17904,Beautiful Kreuzberg studio - 3 months minimum,https://www.airbnb.com/rooms/17904,Entire home/apt,92,68997,$47.00,2010-02-08 17:23:48,2010-02-08 17:23:48
20858,Designer Loft in Berlin Mitte,https://www.airbnb.com/rooms/20858,Entire home/apt,3,71331,$169.00,2012-09-24 21:03:01,2012-09-24 21:03:01
21869,Studio in the Heart of Kreuzberg,https://www.airbnb.com/rooms/21869,Entire home/apt,60,64696,$70.00,2010-09-08 11:45:56,2010-09-08 11:45:56
22438,WOHNUNG IN BERLIN ★ MITTE,https://www.airbnb.com/rooms/22438,Entire home/apt,90,86159,$65.00,2011-03-31 17:17:58,2011-03-31 17:17:58
22677,Prenzel garden with leafy terrace (quiet Guests),https://www.airbnb.com/rooms/22677,Entire home/apt,2,87357,$120.00,2010-10-08 08:59:12,2010-10-08 08:59:12
23834,Apartment in the heart of Berlin,https://www.airbnb.com/rooms/23834,Entire home/apt,185,94918,$65.00,2010-05-26 11:58:00,2010-05-26 11:58:00
24569,Sunny & Wheelchair accessible,https://www.airbnb.com/rooms/24569,Entire home/apt,5,99662,$200.00,2010-09-18 04:06:39,2010-09-18 04:06:39
26543,Helmholtzplatz Bright&Spacious Apt.,https://www.airbnb.com/rooms/26543,Entire home/apt,60,112675,$208.00,2010-08-03 02:49:12,2010-08-03 02:49:12
28156,Beautiful apartment in Prenzlauer Berg,https://www.airbnb.com/rooms/28156,Entire home/apt,95,55531,$80.00,2010-11-09 05:01:07,2010-11-09 05:01:07
29279,Quiet 2 rooms next Helmholtzplatz,https://www.airbnb.com/rooms/29279,Entire home/apt,92,54283,$80.00,2010-09-27 10:29:48,2010-09-27 10:29:48
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,https://www.airbnb.com/rooms/30295,Entire home/apt,4,485838,$109.00,2010-09-03 11:51:19,2010-09-03 11:51:19
33043,Central Bright Bellevue Free Parking WIFI 4G,https://www.airbnb.com/rooms/33043,Entire home/apt,3,143180,$62.00,2010-08-16 15:09:42,2010-08-16 15:09:42
35152,Private Room w/ own bath in Design Mitte Loft,https://www.airbnb.com/rooms/35152,Private room,2,151248,$78.00,2011-06-05 15:14:50,2011-06-05 15:14:50
37004,WONDERFUL ROOM for a bubble in Berlin Central,https://www.airbnb.com/rooms/37004,Private room,10,159734,$37.00,2010-07-22 02:38:14,2010-07-22 02:38:14
37554,More central+calm it won´t get !!,https://www.airbnb.com/rooms/37554,Entire home/apt,5,161823,$19.00,2016-07-10 09:55:31,2016-07-10 09:55:31
37836,Weekend in Berlin Party Center - II,https://www.airbnb.com/rooms/37836,Private room,2,272316,$40.00,2010-07-03 11:22:21,2010-07-03 11:22:21
38074,"In the heart of Prenzlauer Berg, 3 months min stay",https://www.airbnb.com/rooms/38074,Entire home/apt,92,163384,$99.00,2010-09-06 18:10:29,2010-09-06 18:10:29
40600,room-artist loft berlin kreuzberg,https://www.airbnb.com/rooms/40600,Private room,3,174970,$53.00,2012-03-23 21:26:31,2012-03-23 21:26:31
41217,Beautiful room,https://www.airbnb.com/rooms/41217,Private room,15,179110,$43.00,2010-08-11 09:47:51,2010-08-11 09:47:51
41306,"Schöner Altbau, 6 min zum Alexanderpatz.",https://www.airbnb.com/rooms/41306,Private room,1,179872,$49.00,2014-09-22 00:30:45,2014-09-22 00:30:45
42487,Weekend in Berlin Party Center - I,https://www.airbnb.com/rooms/42487,Private room,1,272316,$34.00,2011-09-11 17:02:50,2011-09-11 17:02:50
42809,The Berlin Artist Apartment.,https://www.airbnb.com/rooms/42809,Entire home/apt,4,186851,$119.00,2011-01-15 18:12:45,2011-01-15 18:12:45
