LISTING_ID,LISTING_NAME,MINIMUM_NIGHTS,HOST_ID,ROOM_TYPE,PRICE,CREATED_AT,UPDATED_AT
3176,Fabulous Flat in great Location,62,3718,Entire home/apt,90.000,2009-06-05 21:34:42,2009-06-05 21:34:42
7071,BrightRoom with sunny greenview!,1,17391,Private room,33.000,2009-08-12 12:30:30,2009-08-12 12:30:30
9991,Geourgeous flat - outstanding views,1,33852,Entire home/apt,180.000,2015-07-30 05:08:52,2015-07-30 05:08:52
14325,Apartment in Prenzlauer Berg,95,55531,Entire home/apt,70.000,2010-06-15 19:56:01,2010-06-15 19:56:01
16644,In the Heart of Berlin - Kreuzberg,60,64696,Entire home/apt,90.000,2010-05-30 12:11:33,2010-05-30 12:11:33
17904,Beautiful Kreuzberg studio - 3 months minimum,92,68997,Entire home/apt,47.000,2010-02-08 17:23:48,2010-02-08 17:23:48
20858,Designer Loft in Berlin Mitte,3,71331,Entire home/apt,169.000,2012-09-24 21:03:01,2012-09-24 21:03:01
21869,Studio in the Heart of Kreuzberg,60,64696,Entire home/apt,70.000,2010-09-08 11:45:56,2010-09-08 11:45:56
22438,WOHNUNG IN BERLIN ★ MITTE,90,86159,Entire home/apt,65.000,2011-03-31 17:17:58,2011-03-31 17:17:58
22677,Prenzel garden with leafy terrace (quiet Guests),2,87357,Entire home/apt,120.000,2010-10-08 08:59:12,2010-10-08 08:59:12
23834,Apartment in the heart of Berlin,185,94918,Entire home/apt,65.000,2010-05-26 11:58:00,2010-05-26 11:58:00
24569,Sunny & Wheelchair accessible,5,99662,Entire home/apt,200.000,2010-09-18 04:06:39,2010-09-18 04:06:39
26543,Helmholtzplatz Bright&Spacious Apt.,60,112675,Entire home/apt,208.000,2010-08-03 02:49:12,2010-08-03 02:49:12
28156,Beautiful apartment in Prenzlauer Berg,95,55531,Entire home/apt,80.000,2010-11-09 05:01:07,2010-11-09 05:01:07
29279,Quiet 2 rooms next Helmholtzplatz,92,54283,Entire home/apt,80.000,2010-09-27 10:29:48,2010-09-27 10:29:48
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,4,485838,Entire home/apt,109.000,2010-09-03 11:51:19,2010-09-03 11:51:19
33043,Central Bright Bellevue Free Parking WIFI 4G,3,143180,Entire home/apt,62.000,2010-08-16 15:09:42,2010-08-16 15:09:42
35152,Private Room w/ own bath in Design Mitte Loft,2,151248,Private room,78.000,2011-06-05 15:14:50,2011-06-05 15:14:50
37004,WONDERFUL ROOM for a bubble in Berlin Central,10,159734,Private room,37.000,2010-07-22 02:38:14,2010-07-22 02:38:14
37554,More central+calm it won´t get !!,5,161823,Entire home/apt,19.000,2016-07-10 09:55:31,2016-07-10 09:55:31
37836,Weekend in Berlin Party Center - II,2,272316,Private room,40.000,2010-07-03 11:22:21,2010-07-03 11:22:21
38074,"In the heart of Prenzlauer Berg, 3 months min stay",92,163384,Entire home/apt,99.000,2010-09-06 18:10:29,2010-09-06 18:10:29
40600,room-artist loft berlin kreuzberg,3,174970,Private room,53.000,2012-03-23 21:26:31,2012-03-23 21:26:31
41217,Beautiful room,15,179110,Private room,43.000,2010-08-11 09:47:51,2010-08-11 09:47:51
41306,"Schöner Altbau, 6 min zum Alexanderpatz.",1,179872,Private room,49.000,2014-09-22 00:30:45,2014-09-22 00:30:45
42487,Weekend in Berlin Party Center - I,1,272316,Private room,34.000,2011-09-11 17:02:50,2011-09-11 17:02:50
42809,The Berlin Artist Apartment.,4,186851,Entire home/apt,119.000,2011-01-15 18:12:45,2011-01-15 18:12:45
44423,Lovely accommodation in Berlin,82,194957,Private room,56.000,2010-09-20 04:09:56,2010-09-20 04:09:56
47938,Lovely 2 BR flat in Prenzlauer Berg,5,218479,Entire home/apt,169.000,2010-09-16 15:06:12,2010-09-16 15:06:12
55853,Hauptstadt-Domizil,92,264072,Entire home/apt,58.000,2013-03-06 13:26:04,2013-03-06 13:26:04
57049,130 sqm with a view on Mauer Park,3,54283,Entire home/apt,250.000,2010-11-25 19:02:29,2010-11-25 19:02:29
58041,Apt. in a historic ambience+Wifi from,90,145808,Entire home/apt,74.000,2012-02-13 18:07:54,2012-02-13 18:07:54
58780,light quiet beautiful 4 room flat,5,281614,Entire home/apt,124.000,2011-08-24 21:37:21,2011-08-24 21:37:21
64014,"Rooftop apt. w/ grand view, 2 bedrooms,2 bathrooms",2,312896,Entire home/apt,154.000,2011-09-12 15:35:20,2011-09-12 15:35:20
64245,Room w/ balcony and private bathroom in nice area,2,312373,Private room,60.000,2011-06-08 17:37:40,2011-06-08 17:37:40
64590,Great apt. w. balcony directly on the canal!,6,315681,Entire home/apt,118.000,2011-10-08 14:53:09,2011-10-08 14:53:09
68448,Quiet studio in Prenzlauer Berg near Mauerpark,3,163384,Entire home/apt,100.000,2011-05-27 14:14:46,2011-05-27 14:14:46
72079,"Italian Design at Kudamm ,WiFi DSL free",3,261488,Entire home/apt,83.000,2013-04-12 13:12:07,2013-04-12 13:12:07
80843,Berlin City Studio Apt.,2,437628,Entire home/apt,49.000,2011-04-04 10:38:05,2011-04-04 10:38:05
81049,Lux.2BR Apart.Berlin Mitte -Licensed!,4,249501,Entire home/apt,145.000,2011-05-31 16:44:56,2011-05-31 16:44:56
81081,Beautiful Prenzlauer Berg Apt,4,425899,Entire home/apt,66.000,2011-04-09 14:24:28,2011-04-09 14:24:28
