LISTING_ID,LISTING_NAME,ROOM_TYPE,nps_total,reviews_total
5682233,"Large, cozy Room",Private room,1.0,2
5722653,Nettes Kleinod,Entire home/apt,0.5555555555555556,18
5760642,kinderfreundliche Whg in Neukölln,Entire home/apt,0.5,4
5779999,Beautiful 2 bedroom top-floor Apt.,Entire home/apt,1.0,1
5784956,Ferienwohnung nähe Bergmannkiez,Entire home/apt,0.5746031746031746,315
5798346,nice apartment Weserstr./Neukölln,Entire home/apt,-0.42857142857142855,7
5813376,Garden flat in Kreuzberg,Entire home/apt,0.4,25
5818394,Central and modern furnishings,Entire home/apt,0.5,2
5843799,Small apartment with bath room,Private room,0.35,40
5892250,Local Art and Beauty (glutenfree & organic),Private room,0.6521739130434783,23
5892814,Spacious 82m² flat with sunny balcony,Entire home/apt,0.603448275862069,58
6060964,"Beautiful, calm appartment close to Hermannplatz",Entire home/apt,0.5,4
6222418,Zimmer für den gehobenen Anspruch,Private room,0.34782608695652173,23
6248829,Gemütliches Zimmer  15qm Nähe Uni und Flughafen,Private room,0.3,20
6279787,Prenzlauer Berg,Entire home/apt,0.7,20
6306535,At Kollwitzplatz,Entire home/apt,0.3978494623655914,93
6306995,*Bright apartment with balcony*,Entire home/apt,0.3,10
6338461,Himmel über Berlin mitten in Mitte.,Entire home/apt,0.0,2
6342030,Ruhige Wohngegend am Stadtrand,Private room,0.515625,64
6375658,"big, bright room in a flatshare",Private room,1.0,1
6429126,sonnige Maisonette,Private room,0.6086956521739131,23
6454540,Neukölln Calling,Private room,0.375,16
6454642,schöne Altbauwohnung mit grosser Terrasse + Garten,Entire home/apt,0.0,13
6465190,Small studio that feels like a tree house,Entire home/apt,0.2857142857142857,189
6519879,Cozy duplex in Friedrichshain,Entire home/apt,0.6829268292682927,41
6559677,nice room in center of friedrichshain,Private room,0.6666666666666666,3
6626912,Wohnung im berliner Wedding,Entire home/apt,0.5,2
6627140,Beautiful accomodation near CheckPoint Charlie,Private room,0.7777777777777778,9
6633659,Big room with a Big bed + sofa/bed,Private room,1.0,2
6641140,Helle 3 Zimmer Wohnung- Top Lage!,Entire home/apt,0.2222222222222222,9
6663931,"8-Bedroom mixed, Ensuite , TV No. 1",Shared room,0.4606741573033708,178
6668813,beautiful room for 1-3 Persons,Private room,0.3333333333333333,12
6675463,nice room in central flat for 2,Private room,0.0,2
6697033,Double Room Ensuite / TV  No.1,Private room,0.41228070175438597,228
6704144,Spacious room near Volkspark,Private room,-0.6666666666666666,3
6708791,Make yourself at home in Berlin,Entire home/apt,0.445,200
6712744,Moderne Familienwohnung,Entire home/apt,0.9166666666666666,12
6723647,Urban Living Space,Private room,0.5,2
6733959,Jugendstilvilla mit schönem Loft,Entire home/apt,0.26229508196721313,61
6736561,cozy room in neukölln,Private room,0.5555555555555556,9
6742843,central | best bed | kreuzberg,Private room,0.5,10
6757496,Nice and light room in Pankow,Private room,0.2916666666666667,24
6787760,Very light and large room,Private room,1.0,1
6827025,Berlin at Castle Charlottenburg,Entire home/apt,-0.5,2
