inventory_id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,comments,insertion_timestamp
36,1,2006-03-22,3/22/2006 16:02:48,72,40,,,,2025-08-12 10:43:24.51-04
68,2,2006-03-22,3/22/2006 16:10:27,43,20,,,,2025-08-12 10:43:24.51-04
69,2,2006-03-22,3/24/2006 11:00:55,19,20,,,,2025-08-12 10:43:24.51-04
98,3,2006-03-30,3/30/2006 17:24:33,34,1,,,,2025-08-12 10:43:24.51-04
116,2,2006-04-04,4/4/2006 11:09:24,41,50,,,"Fill Back Ordered product, Order #45",2025-08-12 10:43:24.51-04
47,1,2006-03-22,3/22/2006 16:04:20,21,20,,,,2025-08-12 10:43:24.51-04
49,1,2006-03-22,3/22/2006 16:04:28,41,40,,,,2025-08-12 10:43:24.51-04
93,2,2006-03-24,4/4/2006 11:06:13,5,25,,,,2025-08-12 10:43:24.51-04
131,2,2006-04-04,4/4/2006 11:41:45,72,40,,,,2025-08-12 10:43:24.51-04
48,1,2006-03-22,3/22/2006 16:04:24,40,120,,,,2025-08-12 10:43:24.51-04
57,1,2006-03-22,3/22/2006 16:05:26,65,40,,,,2025-08-12 10:43:24.51-04
77,2,2006-03-24,3/24/2006 10:56:57,43,300,,,"Fill Back Ordered product, Order #38",2025-08-12 10:43:24.51-04
80,1,2006-03-24,3/24/2006 10:54:33,19,30,,,,2025-08-12 10:43:24.51-04
84,2,2006-03-24,4/4/2006 11:41:14,6,10,,,,2025-08-12 10:43:24.51-04
86,3,2006-03-24,3/24/2006 14:49:16,80,20,,,,2025-08-12 10:43:24.51-04
90,3,2006-03-24,3/24/2006 14:50:18,81,25,,,,2025-08-12 10:43:24.51-04
112,2,2006-04-04,4/4/2006 11:07:37,19,25,,,"Fill Back Ordered product, Order #48",2025-08-12 10:43:24.51-04
78,1,2006-03-24,3/24/2006 10:54:04,41,200,,,,2025-08-12 10:43:24.51-04
106,2,2006-04-04,4/4/2006 11:07:37,8,25,,,"Fill Back Ordered product, Order #48",2025-08-12 10:43:24.51-04
121,2,2006-04-04,4/4/2006 11:36:47,6,90,,,,2025-08-12 10:43:24.51-04
87,3,2006-03-24,3/24/2006 14:49:20,81,50,,,,2025-08-12 10:43:24.51-04
95,2,2006-03-24,4/4/2006 11:06:13,40,30,,,,2025-08-12 10:43:24.51-04
99,2,2006-04-03,4/3/2006 13:50:15,48,10,,,,2025-08-12 10:43:24.51-04
100,1,2006-04-04,4/4/2006 11:00:54,57,100,,,,2025-08-12 10:43:24.51-04
123,2,2006-04-04,4/4/2006 11:37:49,48,40,,,,2025-08-12 10:43:24.51-04
133,2,2006-04-04,4/4/2006 11:42:26,8,3,,,,2025-08-12 10:43:24.51-04
42,1,2006-03-22,3/22/2006 16:03:54,8,40,,,,2025-08-12 10:43:24.51-04
