inventory_id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,comments
78,1,2006-03-24,3/24/2006 10:54:04,41,200,,,
106,2,2006-04-04,4/4/2006 11:07:37,8,25,,,"Fill Back Ordered product, Order #48"
121,2,2006-04-04,4/4/2006 11:36:47,6,90,,,
42,1,2006-03-22,3/22/2006 16:03:54,8,40,,,
70,2,2006-03-22,3/24/2006 10:59:41,48,10,,,
108,2,2006-04-04,4/4/2006 11:08:14,34,300,,,"Fill Back Ordered product, Order #47"
124,2,2006-04-04,4/4/2006 11:38:11,48,40,,,
125,2,2006-04-04,4/4/2006 11:38:32,41,10,,,
128,2,2006-04-04,4/4/2006 11:39:53,8,20,,,
53,1,2006-03-22,3/22/2006 16:04:45,77,60,,,
113,1,2006-04-04,4/4/2006 11:03:12,72,50,,,
126,2,2006-04-04,4/4/2006 11:38:53,43,5,,,
52,1,2006-03-22,3/22/2006 16:04:41,74,20,,,
81,2,2006-03-24,3/24/2006 11:02:02,19,30,,,"Fill Back Ordered product, Order #33"
92,2,2006-03-24,4/4/2006 11:06:56,21,20,,,
97,3,2006-03-30,3/30/2006 17:23:27,34,10,,,
132,2,2006-04-04,4/4/2006 11:42:26,3,50,,,
46,1,2006-03-22,3/22/2006 16:04:17,20,40,,,
59,1,2006-03-22,3/22/2006 16:05:47,1,40,,,
61,1,2006-03-22,3/22/2006 16:06:00,43,100,,,
66,2,2006-03-22,3/22/2006 16:08:59,80,10,,,
102,1,2006-04-04,4/4/2006 11:01:14,34,50,,,
119,2,2006-04-04,4/4/2006 11:35:54,7,30,,,
127,2,2006-04-04,4/4/2006 11:39:29,40,40,,,
55,1,2006-03-22,3/22/2006 16:05:11,4,40,,,
67,2,2006-03-22,3/22/2006 16:10:27,1,15,,,
83,2,2006-03-24,3/24/2006 11:03:00,34,100,,,"Fill Back Ordered product, Order #30"
91,2,2006-03-24,4/4/2006 11:09:24,40,50,,,
110,2,2006-04-04,4/4/2006 11:41:14,19,10,,,"Fill Back Ordered product, Order #42"
118,2,2006-04-04,4/4/2006 11:35:54,51,30,,,
122,2,2006-04-04,4/4/2006 11:37:09,4,30,,,
134,2,2006-04-04,4/4/2006 11:43:08,20,40,,,
40,1,2006-03-22,3/22/2006 16:03:40,6,100,,,
43,1,2006-03-22,3/22/2006 16:04:02,14,40,,,
45,1,2006-03-22,3/22/2006 16:04:12,19,20,,,
51,1,2006-03-22,3/22/2006 16:04:38,51,40,,,
56,1,2006-03-22,3/22/2006 16:05:14,5,40,,,
72,1,2006-03-24,3/24/2006 10:41:30,81,200,,,
111,1,2006-04-04,4/4/2006 11:02:56,19,10,,,
120,2,2006-04-04,4/4/2006 11:36:21,17,40,,,
136,3,2006-04-25,4/25/2006 17:04:57,56,110,,,
