order_id,product_id,customer_id,employee_id,shipper_id,quantity,unit_price,discount,status_id,date_allocated,purchase_order_id,inventory_id,order_date,shipped_date,paid_date,insertion_timestamp
79,51,6,2,3,30,53.0,0,2,,,118,2006-06-23,6/23/2006 0:00:00,6/23/2006 0:00:00,2025-08-07 13:59:14.04-04
39,48,8,3,3,100,12.75,0,2,,100,75,2006-03-22,3/24/2006 0:00:00,3/22/2006 0:00:00,2025-08-07 13:59:14.04-04
46,57,9,7,1,100,19.5,0,2,,105,101,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-07 13:59:14.04-04
69,80,10,1,1,15,3.5,0,2,,,129,2006-05-24,,,2025-08-07 13:59:14.04-04
51,5,26,9,3,25,21.35,0,2,,,93,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-07 13:59:14.04-04
72,43,28,1,3,5,46.0,0,2,,,126,2006-06-07,6/7/2006 0:00:00,6/7/2006 0:00:00,2025-08-07 13:59:14.04-04
51,40,26,9,3,30,18.4,0,2,,,95,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-07 13:59:14.04-04
31,80,4,3,1,10,3.5,0,2,,,66,2006-01-20,1/22/2006 0:00:00,1/20/2006 0:00:00,2025-08-07 13:59:14.04-04
43,80,11,1,3,20,3.5,0,1,,,86,2006-03-24,,,2025-08-07 13:59:14.04-04
51,41,26,9,3,30,9.65,0,2,,,94,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-07 13:59:14.04-04
30,34,27,9,2,100,14.0,0,2,,96,83,2006-01-15,1/22/2006 0:00:00,1/15/2006 0:00:00,2025-08-07 13:59:14.04-04
43,81,11,1,3,50,2.99,0,1,,,87,2006-03-24,,,2025-08-07 13:59:14.04-04
78,17,29,1,2,40,39.0,0,2,,,120,2006-06-05,6/5/2006 0:00:00,6/5/2006 0:00:00,2025-08-07 13:59:14.04-04
31,51,4,3,1,10,53.0,0,2,,,65,2006-01-20,1/22/2006 0:00:00,1/20/2006 0:00:00,2025-08-07 13:59:14.04-04
81,81,3,2,,0,2.99,0,5,,,,2006-04-25,,,2025-08-07 13:59:14.04-04
36,41,3,4,2,200,9.65,0,2,,98,79,2006-02-23,2/25/2006 0:00:00,2/23/2006 0:00:00,2025-08-07 13:59:14.04-04
41,43,7,1,,300,46.0,0,1,,102,104,2006-03-24,,,2025-08-07 13:59:14.04-04
60,72,8,6,3,40,34.8,0,2,,,131,2006-04-30,4/30/2006 0:00:00,4/30/2006 0:00:00,2025-08-07 13:59:14.04-04
50,21,25,9,1,20,10.0,0,2,,,92,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-07 13:59:14.04-04
44,81,1,1,,25,2.99,0,1,,,90,2006-03-24,,,2025-08-07 13:59:14.04-04
81,56,3,2,,0,38.0,0,0,,,,2006-04-25,,,2025-08-07 13:59:14.04-04
73,41,9,7,1,10,9.65,0,2,,,125,2006-06-05,6/5/2006 0:00:00,6/5/2006 0:00:00,2025-08-07 13:59:14.04-04
40,81,10,4,2,200,2.99,0,2,,101,73,2006-03-24,3/24/2006 0:00:00,3/24/2006 0:00:00,2025-08-07 13:59:14.04-04
30,80,27,9,2,30,3.5,0,2,,,63,2006-01-15,1/22/2006 0:00:00,1/15/2006 0:00:00,2025-08-07 13:59:14.04-04
45,40,28,1,3,50,18.4,0,2,,,91,2006-04-07,4/7/2006 0:00:00,4/7/2006 0:00:00,2025-08-07 13:59:14.04-04
34,19,4,9,3,20,9.2,0,2,,,69,2006-02-06,2/7/2006 0:00:00,2/6/2006 0:00:00,2025-08-07 13:59:14.04-04
44,43,1,1,,25,46.0,0,1,,,89,2006-03-24,,,2025-08-07 13:59:14.04-04
80,56,4,2,,10,38.0,0,1,,,136,2006-04-25,,,2025-08-07 13:59:14.04-04
47,34,6,6,2,300,14.0,0,2,,107,108,2006-04-08,4/8/2006 0:00:00,4/8/2006 0:00:00,2025-08-07 13:59:14.04-04
37,8,6,8,2,17,40.0,0,2,,,71,2006-03-06,3/9/2006 0:00:00,3/6/2006 0:00:00,2025-08-07 13:59:14.04-04
75,48,8,4,2,40,12.75,0,2,,,123,2006-06-05,6/5/2006 0:00:00,6/5/2006 0:00:00,2025-08-07 13:59:14.04-04
63,8,3,4,2,3,40.0,0,2,,,133,2006-04-25,4/25/2006 0:00:00,4/25/2006 0:00:00,2025-08-07 13:59:14.04-04
56,48,6,2,3,10,12.75,0,2,,111,99,2006-04-03,4/3/2006 0:00:00,4/3/2006 0:00:00,2025-08-07 13:59:14.04-04
74,48,6,6,2,40,12.75,0,2,,,124,2006-06-08,6/8/2006 0:00:00,6/8/2006 0:00:00,2025-08-07 13:59:14.04-04
48,19,8,4,2,25,9.2,0,2,,109,112,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-07 13:59:14.04-04
42,4,10,1,1,10,22.0,0,2,,,85,2006-03-24,4/7/2006 0:00:00,,2025-08-07 13:59:14.04-04
42,6,10,1,1,10,25.0,0,2,,,84,2006-03-24,4/7/2006 0:00:00,,2025-08-07 13:59:14.04-04
76,4,25,9,1,30,22.0,0,2,,,122,2006-06-05,6/5/2006 0:00:00,6/5/2006 0:00:00,2025-08-07 13:59:14.04-04
77,6,26,9,3,90,25.0,0,2,,,121,2006-06-05,6/5/2006 0:00:00,6/5/2006 0:00:00,2025-08-07 13:59:14.04-04
31,7,4,3,1,10,30.0,0,2,,,64,2006-01-20,1/22/2006 0:00:00,1/20/2006 0:00:00,2025-08-07 13:59:14.04-04
58,20,4,3,1,40,81.0,0,2,,,134,2006-04-22,4/22/2006 0:00:00,4/22/2006 0:00:00,2025-08-07 13:59:14.04-04
79,7,6,2,3,30,30.0,0,2,,,119,2006-06-23,6/23/2006 0:00:00,6/23/2006 0:00:00,2025-08-07 13:59:14.04-04
45,41,28,1,3,50,9.65,0,2,,104,116,2006-04-07,4/7/2006 0:00:00,4/7/2006 0:00:00,2025-08-07 13:59:14.04-04
44,1,1,1,,25,18.0,0,1,,,88,2006-03-24,,,2025-08-07 13:59:14.04-04
63,3,3,4,2,50,10.0,0,2,,,132,2006-04-25,4/25/2006 0:00:00,4/25/2006 0:00:00,2025-08-07 13:59:14.04-04
46,72,9,7,1,50,34.8,0,2,,106,114,2006-04-05,4/5/2006 0:00:00,4/5/2006 0:00:00,2025-08-07 13:59:14.04-04
