retailer,plan_name,day_of_week,hour,price_per_kwh,daily_charge
Bluepeak,Flexi,0,0,15.6,287.2
Bluepeak,Flexi,0,1,15.6,287.2
Bluepeak,Flexi,0,2,15.6,287.2
Bluepeak,Flexi,0,3,15.6,287.2
Bluepeak,Flexi,0,4,15.6,287.2
Bluepeak,Flexi,0,5,15.6,287.2
Bluepeak,Flexi,0,6,15.6,287.2
Bluepeak,Flexi,0,7,24.3,287.2
Bluepeak,Flexi,0,8,24.3,287.2
Bluepeak,Flexi,0,9,24.3,287.2
Bluepeak,Flexi,0,10,24.3,287.2
Bluepeak,Flexi,0,11,24.3,287.2
Bluepeak,Flexi,0,12,24.3,287.2
Bluepeak,Flexi,0,13,24.3,287.2
Bluepeak,Flexi,0,14,24.3,287.2
Bluepeak,Flexi,0,15,24.3,287.2
Bluepeak,Flexi,0,16,24.3,287.2
Bluepeak,Flexi,0,17,24.3,287.2
Bluepeak,Flexi,0,18,24.3,287.2
Bluepeak,Flexi,0,19,24.3,287.2
Bluepeak,Flexi,0,20,24.3,287.2
Bluepeak,Flexi,0,21,15.6,287.2
Bluepeak,Flexi,0,22,15.6,287.2
Bluepeak,Flexi,0,23,15.6,287.2
Bluepeak,Flexi,1,0,15.6,287.2
Bluepeak,Flexi,1,1,15.6,287.2
Bluepeak,Flexi,1,2,15.6,287.2
Bluepeak,Flexi,1,3,15.6,287.2
Bluepeak,Flexi,1,4,15.6,287.2
Bluepeak,Flexi,1,5,15.6,287.2
Bluepeak,Flexi,1,6,15.6,287.2
Bluepeak,Flexi,1,7,31.2,287.2
Bluepeak,Flexi,1,8,31.2,287.2
Bluepeak,Flexi,1,9,31.2,287.2
Bluepeak,Flexi,1,10,31.2,287.2
Bluepeak,Flexi,1,11,24.3,287.2
Bluepeak,Flexi,1,12,24.3,287.2
Bluepeak,Flexi,1,13,24.3,287.2
Bluepeak,Flexi,1,14,24.3,287.2
Bluepeak,Flexi,1,15,24.3,287.2
Bluepeak,Flexi,1,16,24.3,287.2
Bluepeak,Flexi,1,17,31.2,287.2
Bluepeak,Flexi,1,18,31.2,287.2
Bluepeak,Flexi,1,19,31.2,287.2
Bluepeak,Flexi,1,20,31.2,287.2
Bluepeak,Flexi,1,21,15.6,287.2
Bluepeak,Flexi,1,22,15.6,287.2
Bluepeak,Flexi,1,23,15.6,287.2
Bluepeak,Flexi,2,0,15.6,287.2
Bluepeak,Flexi,2,1,15.6,287.2
Bluepeak,Flexi,2,2,15.6,287.2
Bluepeak,Flexi,2,3,15.6,287.2
Bluepeak,Flexi,2,4,15.6,287.2
Bluepeak,Flexi,2,5,15.6,287.2
Bluepeak,Flexi,2,6,15.6,287.2
Bluepeak,Flexi,2,7,31.2,287.2
Bluepeak,Flexi,2,8,31.2,287.2
Bluepeak,Flexi,2,9,31.2,287.2
Bluepeak,Flexi,2,10,31.2,287.2
Bluepeak,Flexi,2,11,24.3,287.2
Bluepeak,Flexi,2,12,24.3,287.2
Bluepeak,Flexi,2,13,24.3,287.2
Bluepeak,Flexi,2,14,24.3,287.2
Bluepeak,Flexi,2,15,24.3,287.2
Bluepeak,Flexi,2,16,24.3,287.2
Bluepeak,Flexi,2,17,31.2,287.2
Bluepeak,Flexi,2,18,31.2,287.2
Bluepeak,Flexi,2,19,31.2,287.2
Bluepeak,Flexi,2,20,31.2,287.2
Bluepeak,Flexi,2,21,15.6,287.2
Bluepeak,Flexi,2,22,15.6,287.2
Bluepeak,Flexi,2,23,15.6,287.2
Bluepeak,Flexi,3,0,15.6,287.2
Bluepeak,Flexi,3,1,15.6,287.2
Bluepeak,Flexi,3,2,15.6,287.2
Bluepeak,Flexi,3,3,15.6,287.2
Bluepeak,Flexi,3,4,15.6,287.2
Bluepeak,Flexi,3,5,15.6,287.2
Bluepeak,Flexi,3,6,15.6,287.2
Bluepeak,Flexi,3,7,31.2,287.2
Bluepeak,Flexi,3,8,31.2,287.2
Bluepeak,Flexi,3,9,31.2,287.2
Bluepeak,Flexi,3,10,31.2,287.2
Bluepeak,Flexi,3,11,24.3,287.2
Bluepeak,Flexi,3,12,24.3,287.2
Bluepeak,Flexi,3,13,24.3,287.2
Bluepeak,Flexi,3,14,24.3,287.2
Bluepeak,Flexi,3,15,24.3,287.2
Bluepeak,Flexi,3,16,24.3,287.2
Bluepeak,Flexi,3,17,31.2,287.2
Bluepeak,Flexi,3,18,31.2,287.2
Bluepeak,Flexi,3,19,31.2,287.2
Bluepeak,Flexi,3,20,31.2,287.2
Bluepeak,Flexi,3,21,15.6,287.2
Bluepeak,Flexi,3,22,15.6,287.2
Bluepeak,Flexi,3,23,15.6,287.2
Bluepeak,Flexi,4,0,15.6,287.2
Bluepeak,Flexi,4,1,15.6,287.2
Bluepeak,Flexi,4,2,15.6,287.2
Bluepeak,Flexi,4,3,15.6,287.2
Bluepeak,Flexi,4,4,15.6,287.2
Bluepeak,Flexi,4,5,15.6,287.2
Bluepeak,Flexi,4,6,15.6,287.2
Bluepeak,Flexi,4,7,31.2,287.2
Bluepeak,Flexi,4,8,31.2,287.2
Bluepeak,Flexi,4,9,31.2,287.2
Bluepeak,Flexi,4,10,31.2,287.2
Bluepeak,Flexi,4,11,24.3,287.2
Bluepeak,Flexi,4,12,24.3,287.2
Bluepeak,Flexi,4,13,24.3,287.2
Bluepeak,Flexi,4,14,24.3,287.2
Bluepeak,Flexi,4,15,24.3,287.2
Bluepeak,Flexi,4,16,24.3,287.2
Bluepeak,Flexi,4,17,31.2,287.2
Bluepeak,Flexi,4,18,31.2,287.2
Bluepeak,Flexi,4,19,31.2,287.2
Bluepeak,Flexi,4,20,31.2,287.2
Bluepeak,Flexi,4,21,15.6,287.2
Bluepeak,Flexi,4,22,15.6,287.2
Bluepeak,Flexi,4,23,15.6,287.2
Bluepeak,Flexi,5,0,15.6,287.2
Bluepeak,Flexi,5,1,15.6,287.2
Bluepeak,Flexi,5,2,15.6,287.2
Bluepeak,Flexi,5,3,15.6,287.2
Bluepeak,Flexi,5,4,15.6,287.2
Bluepeak,Flexi,5,5,15.6,287.2
Bluepeak,Flexi,5,6,15.6,287.2
Bluepeak,Flexi,5,7,31.2,287.2
Bluepeak,Flexi,5,8,31.2,287.2
Bluepeak,Flexi,5,9,31.2,287.2
Bluepeak,Flexi,5,10,31.2,287.2
Bluepeak,Flexi,5,11,24.3,287.2
Bluepeak,Flexi,5,12,24.3,287.2
Bluepeak,Flexi,5,13,24.3,287.2
Bluepeak,Flexi,5,14,24.3,287.2
Bluepeak,Flexi,5,15,24.3,287.2
Bluepeak,Flexi,5,16,24.3,287.2
Bluepeak,Flexi,5,17,31.2,287.2
Bluepeak,Flexi,5,18,31.2,287.2
Bluepeak,Flexi,5,19,31.2,287.2
Bluepeak,Flexi,5,20,31.2,287.2
Bluepeak,Flexi,5,21,15.6,287.2
Bluepeak,Flexi,5,22,15.6,287.2
Bluepeak,Flexi,5,23,15.6,287.2
Bluepeak,Flexi,6,0,15.6,287.2
Bluepeak,Flexi,6,1,15.6,287.2
Bluepeak,Flexi,6,2,15.6,287.2
Bluepeak,Flexi,6,3,15.6,287.2
Bluepeak,Flexi,6,4,15.6,287.2
Bluepeak,Flexi,6,5,15.6,287.2
Bluepeak,Flexi,6,6,15.6,287.2
Bluepeak,Flexi,6,7,24.3,287.2
Bluepeak,Flexi,6,8,24.3,287.2
Bluepeak,Flexi,6,9,24.3,287.2
Bluepeak,Flexi,6,10,24.3,287.2
Bluepeak,Flexi,6,11,24.3,287.2
Bluepeak,Flexi,6,12,24.3,287.2
Bluepeak,Flexi,6,13,24.3,287.2
Bluepeak,Flexi,6,14,24.3,287.2
Bluepeak,Flexi,6,15,24.3,287.2
Bluepeak,Flexi,6,16,24.3,287.2
Bluepeak,Flexi,6,17,24.3,287.2
Bluepeak,Flexi,6,18,24.3,287.2
Bluepeak,Flexi,6,19,24.3,287.2
Bluepeak,Flexi,6,20,24.3,287.2
Bluepeak,Flexi,6,21,15.6,287.2
Bluepeak,Flexi,6,22,15.6,287.2
Bluepeak,Flexi,6,23,15.6,287.2
Sunstream,Anytime,0,0,22.87,226.19
Sunstream,Anytime,0,1,22.87,226.19
Sunstream,Anytime,0,2,22.87,226.19
Sunstream,Anytime,0,3,22.87,226.19
Sunstream,Anytime,0,4,22.87,226.19
Sunstream,Anytime,0,5,22.87,226.19
Sunstream,Anytime,0,6,22.87,226.19
Sunstream,Anytime,0,7,22.87,226.19
Sunstream,Anytime,0,8,22.87,226.19
Sunstream,Anytime,0,9,22.87,226.19
Sunstream,Anytime,0,10,22.87,226.19
Sunstream,Anytime,0,11,22.87,226.19
Sunstream,Anytime,0,12,22.87,226.19
Sunstream,Anytime,0,13,22.87,226.19
Sunstream,Anytime,0,14,22.87,226.19
Sunstream,Anytime,0,15,22.87,226.19
Sunstream,Anytime,0,16,22.87,226.19
