status_id,race_id,driver_id,constructor_id,result_id,grid,position_order,points,laps,fastest_lap_time,fastest_lap_speed,lap_time,lap_milliseconds,lap_number,fastest_lap,position,rank,status_desc,position_desc
4,18,9,2,9,2,9,0.0,47,1:28.753,215.1,,,4,15,,9,Collision,retired
3,18,10,7,10,18,10,0.0,43,1:29.558,213.166,,,12,23,,13,Accident,retired
7,18,11,8,11,19,11,0.0,32,1:30.892,210.038,,,18,24,,15,Transmission,retired
8,18,12,4,12,20,12,0.0,30,1:31.384,208.907,,,6,20,,16,Clutch,retired
5,18,13,6,13,4,13,0.0,29,1:28.175,216.51,,,2,23,,6,Engine,retired
4,18,14,9,14,8,14,0.0,25,1:29.502,213.3,,,9,21,,11,Collision,retired
10,18,15,7,15,6,15,0.0,19,1:29.310,213.758,,,11,18,,10,Electrical,retired
9,18,16,10,16,22,16,0.0,8,1:32.021,207.461,,,20,8,,17,Hydraulics,retired
4,18,17,9,17,14,17,0.0,0,,,,,10,,,,Collision,retired
4,18,18,11,18,12,18,0.0,0,,,,,16,,,,Collision,retired
4,18,19,8,19,21,19,0.0,0,,,,,19,,,,Collision,retired
4,18,20,5,20,9,20,0.0,0,,,,,15,,,,Collision,retired
4,18,21,10,21,16,21,0.0,0,,,,,21,,,,Collision,retired
2,18,22,11,22,10,22,0.0,58,1:28.736,215.141,,,17,44,,8,Disqualified,disqualified
5,19,20,5,40,15,18,0.0,39,1:36.870,205.995,,,15,37,,14,Engine,retired
20,19,13,6,41,1,19,0.0,30,1:35.914,208.048,,,2,15,,5,Spun off,retired
9,19,16,10,42,20,20,0.0,5,1:40.330,198.891,,,20,3,,20,Hydraulics,retired
4,19,10,7,43,10,21,0.0,1,,,,,12,,,,Collision,retired
20,19,7,5,44,18,22,0.0,0,,,,,14,,,,Spun off,retired
6,20,12,4,64,14,20,0.0,40,1:35.129,204.808,,,6,31,,12,Gearbox,retired
4,20,18,11,65,9,21,0.0,19,1:36.125,202.686,,,16,11,,21,Collision,retired
5,20,20,5,66,19,22,0.0,0,,,,,15,,,,Engine,retired
5,21,3,3,80,15,14,0.0,41,1:23.319,201.13,,,7,20,,13,Engine,retired
5,21,4,4,81,2,15,0.0,34,1:22.683,202.677,,,5,15,,9,Engine,retired
4,21,22,11,82,11,16,0.0,34,1:23.858,199.837,,,17,21,,16,Collision,retired
3,21,5,1,83,6,17,0.0,21,1:22.453,203.243,,,23,19,,6,Accident,retired
21,21,19,8,84,21,18,0.0,8,1:26.864,192.922,,,19,6,,20,Radiator,retired
4,21,7,5,85,16,19,0.0,7,1:25.999,194.862,,,14,6,,19,Collision,retired
4,21,12,4,86,10,20,0.0,6,1:25.444,196.128,,,6,6,,18,Collision,retired
4,21,16,10,87,20,21,0.0,0,,,,,20,,,,Collision,retired
4,21,20,5,88,18,22,0.0,0,,,,,15,,,,Collision,retired
22,22,7,5,106,18,18,0.0,24,1:28.745,216.539,,,14,19,,17,Suspension,retired
4,22,6,3,107,16,19,0.0,1,,,,,8,,,,Collision,retired
4,22,21,10,108,20,20,0.0,0,,,,,21,,,,Collision,retired
4,23,16,10,123,18,15,0.0,67,1:22.039,146.564,,,20,60,,16,Collision,retired
3,23,3,3,124,6,16,0.0,59,1:21.270,147.951,,,7,58,,15,Accident,retired
3,23,12,4,125,17,17,0.0,47,1:31.187,131.86,,,6,40,,17,Accident,retired
6,23,21,10,126,20,18,0.0,36,1:32.849,129.5,,,21,33,,18,Gearbox,retired
3,23,14,9,127,15,19,0.0,7,1:42.112,117.753,,,9,7,,20,Accident,retired
4,23,7,5,128,16,20,0.0,7,1:41.150,118.872,,,14,7,,19,Collision,retired
20,24,21,10,142,17,14,0.0,51,1:19.066,198.563,,,21,41,,16,Spun off,retired
3,24,6,3,143,12,15,0.0,46,1:18.784,199.273,,,8,30,,14,Accident,retired
20,24,4,4,144,4,16,0.0,44,1:18.225,200.697,,,5,16,,9,Spun off,retired
23,24,12,4,145,15,17,0.0,43,1:19.239,198.129,,,6,16,,18,Brakes,retired
4,24,8,6,146,3,18,0.0,19,1:17.387,202.871,,,1,14,,1,Collision,retired
4,24,1,1,147,1,19,0.0,19,1:17.506,202.559,,,22,4,,3,Collision,retired
6,24,16,10,148,16,20,0.0,13,1:20.666,194.624,,,20,7,,20,Gearbox,retired
4,25,18,11,168,16,20,0.0,16,1:20.876,196.345,,,16,15,,20,Collision,retired
20,26,9,2,182,10,14,0.0,39,1:33.539,197.859,,,4,22,,12,Spun off,retired
