driver_full_name,race_name,race_date,age,rank
Nigel Mansell,Australian Grand Prix,1994-11-13,41,1
Kimi Räikkönen,United States Grand Prix,2018-10-21,39,2
Lewis Hamilton,Belgian Grand Prix,2024-07-28,39,2
Lewis Hamilton,British Grand Prix,2024-07-07,39,2
Nelson Piquet,Canadian Grand Prix,1991-06-02,39,2
Nigel Mansell,Portuguese Grand Prix,1992-09-27,39,2
Nigel Mansell,German Grand Prix,1992-07-26,39,2
Nigel Mansell,British Grand Prix,1992-07-12,39,2
Nigel Mansell,French Grand Prix,1992-07-05,39,2
Nigel Mansell,San Marino Grand Prix,1992-05-17,39,2
Nigel Mansell,Spanish Grand Prix,1992-05-03,39,2
Nigel Mansell,Brazilian Grand Prix,1992-04-05,39,2
Nigel Mansell,Mexican Grand Prix,1992-03-22,39,2
Nigel Mansell,South African Grand Prix,1992-03-01,39,2
Riccardo Patrese,Japanese Grand Prix,1992-10-25,38,15
Gerhard Berger,German Grand Prix,1997-07-27,38,15
Nelson Piquet,Australian Grand Prix,1990-11-04,38,15
Nelson Piquet,Japanese Grand Prix,1990-10-21,38,15
Nigel Mansell,Spanish Grand Prix,1991-09-29,38,15
Nigel Mansell,Italian Grand Prix,1991-09-08,38,15
Nigel Mansell,German Grand Prix,1991-07-28,38,15
Nigel Mansell,British Grand Prix,1991-07-14,38,15
Nigel Mansell,French Grand Prix,1991-07-07,38,15
Damon Hill,Belgian Grand Prix,1998-08-30,38,15
Alain Prost,German Grand Prix,1993-07-25,38,15
Alain Prost,British Grand Prix,1993-07-11,38,15
Alain Prost,French Grand Prix,1993-07-04,38,15
Alain Prost,Canadian Grand Prix,1993-06-13,38,15
Alain Prost,Spanish Grand Prix,1993-05-09,38,15
Alain Prost,San Marino Grand Prix,1993-04-25,38,15
Alain Prost,South African Grand Prix,1993-03-14,38,15
