rank,driver_full_name,laps
1,Fernando Alonso,21413
2,Lewis Hamilton,19878
3,Kimi Räikkönen,18623
4,Sebastian Vettel,16427
5,Jenson Button,16272
6,Sergio Pérez,15098
7,Felipe Massa,14854
8,Rubens Barrichello,14463
9,Daniel Ricciardo,14019
10,Valtteri Bottas,13420
11,Michael Schumacher,13168
12,Jarno Trulli,12396
13,Giancarlo Fisichella,11509
14,Nico Hülkenberg,11463
15,David Coulthard,11211
16,Nico Rosberg,11161
17,Mark Webber,11028
18,Max Verstappen,10844
19,Carlos Sainz,10678
20,Nick Heidfeld,9701
