circuit_name,race_year,avg_lap_time_in_ms
Albert Park Grand Prix Circuit,1996,99021
Albert Park Grand Prix Circuit,1997,96327
Albert Park Grand Prix Circuit,1998,97903
Albert Park Grand Prix Circuit,1999,102113
Albert Park Grand Prix Circuit,2000,99752
Albert Park Grand Prix Circuit,2001,104914
Albert Park Grand Prix Circuit,2002,107321
Albert Park Grand Prix Circuit,2003,99998
Albert Park Grand Prix Circuit,2004,90808
Albert Park Grand Prix Circuit,2005,90332
Albert Park Grand Prix Circuit,2006,101651
Albert Park Grand Prix Circuit,2007,90398
Albert Park Grand Prix Circuit,2008,98557
Albert Park Grand Prix Circuit,2009,97428
Albert Park Grand Prix Circuit,2010,101077
Albert Park Grand Prix Circuit,2011,95619
Albert Park Grand Prix Circuit,2012,98470
Albert Park Grand Prix Circuit,2013,94959
Albert Park Grand Prix Circuit,2014,100366
Albert Park Grand Prix Circuit,2015,97062
Albert Park Grand Prix Circuit,2016,115614
Albert Park Grand Prix Circuit,2017,91106
Albert Park Grand Prix Circuit,2018,93258
Albert Park Grand Prix Circuit,2019,90421
Albert Park Grand Prix Circuit,2022,92136
Albert Park Grand Prix Circuit,2023,147649
Albert Park Grand Prix Circuit,2024,84542
Autodromo Enzo e Dino Ferrari,1996,93191
Autodromo Enzo e Dino Ferrari,1997,90288
Autodromo Enzo e Dino Ferrari,1998,93980
Autodromo Enzo e Dino Ferrari,1999,93189
Autodromo Enzo e Dino Ferrari,2000,90918
Autodromo Enzo e Dino Ferrari,2001,90223
Autodromo Enzo e Dino Ferrari,2002,88293
Autodromo Enzo e Dino Ferrari,2003,86955
Autodromo Enzo e Dino Ferrari,2004,85243
Autodromo Enzo e Dino Ferrari,2005,86257
Autodromo Enzo e Dino Ferrari,2006,90414
Autodromo Enzo e Dino Ferrari,2020,84148
Autodromo Enzo e Dino Ferrari,2021,117208
Autodromo Enzo e Dino Ferrari,2022,89187
Autodromo Enzo e Dino Ferrari,2024,82752
Autodromo Internazionale del Mugello,2020,141405
Autodromo Nazionale di Monza,1996,90259
Autodromo Nazionale di Monza,1997,88593
Autodromo Nazionale di Monza,1998,90120
Autodromo Nazionale di Monza,1999,88681
Autodromo Nazionale di Monza,2000,103042
Autodromo Nazionale di Monza,2001,89274
Autodromo Nazionale di Monza,2002,88327
Autodromo Nazionale di Monza,2003,86474
Autodromo Nazionale di Monza,2004,86691
Autodromo Nazionale di Monza,2005,86136
Autodromo Nazionale di Monza,2006,86428
Autodromo Nazionale di Monza,2007,90796
Autodromo Nazionale di Monza,2008,99650
Autodromo Nazionale di Monza,2009,88049
Autodromo Nazionale di Monza,2010,88299
Autodromo Nazionale di Monza,2011,95310
Autodromo Nazionale di Monza,2012,91499
Autodromo Nazionale di Monza,2013,89949
Autodromo Nazionale di Monza,2014,91258
Autodromo Nazionale di Monza,2015,90378
Autodromo Nazionale di Monza,2016,90429
Autodromo Nazionale di Monza,2017,87424
Autodromo Nazionale di Monza,2018,88634
Autodromo Nazionale di Monza,2019,87150
Autodromo Nazionale di Monza,2020,121092
Autodromo Nazionale di Monza,2021,92952
Autodromo Nazionale di Monza,2022,91258
Autodromo Nazionale di Monza,2023,87767
Autodromo Nazionale di Monza,2024,85790
Autódromo Hermanos Rodríguez,2015,87335
Autódromo Hermanos Rodríguez,2016,86323
Autódromo Hermanos Rodríguez,2017,83242
Autódromo Hermanos Rodríguez,2018,85640
Autódromo Hermanos Rodríguez,2019,83379
Autódromo Hermanos Rodríguez,2021,85129
Autódromo Hermanos Rodríguez,2022,84883
Autódromo Hermanos Rodríguez,2023,104343
Autódromo Internacional do Algarve,2020,83517
Autódromo Internacional do Algarve,2021,87316
Autódromo José Carlos Pace,1996,96868
Autódromo José Carlos Pace,1997,81519
Autódromo José Carlos Pace,1998,82933
Autódromo José Carlos Pace,1999,82739
Autódromo José Carlos Pace,2000,78847
Autódromo José Carlos Pace,2001,85571
Autódromo José Carlos Pace,2002,80098
Autódromo José Carlos Pace,2003,104840
Autódromo José Carlos Pace,2004,76012
Autódromo José Carlos Pace,2005,78639
Autódromo José Carlos Pace,2006,79271
Autódromo José Carlos Pace,2007,76833
Autódromo José Carlos Pace,2008,80925
Autódromo José Carlos Pace,2009,79104
Autódromo José Carlos Pace,2010,80874
Autódromo José Carlos Pace,2011,79988
Autódromo José Carlos Pace,2012,89864
Autódromo José Carlos Pace,2013,79552
Autódromo José Carlos Pace,2014,77145
Autódromo José Carlos Pace,2015,78785
Autódromo José Carlos Pace,2016,153656
Autódromo José Carlos Pace,2017,78542
Autódromo José Carlos Pace,2018,74915
Autódromo José Carlos Pace,2019,78583
Autódromo José Carlos Pace,2021,79612
Autódromo José Carlos Pace,2022,83602
Autódromo José Carlos Pace,2023,101877
Autódromo Juan y Oscar Gálvez,1996,98447
Autódromo Juan y Oscar Gálvez,1997,95692
Autódromo Juan y Oscar Gálvez,1998,92766
Autódromo do Estoril,1996,88532
Bahrain International Circuit,2004,95388
Bahrain International Circuit,2005,96347
Bahrain International Circuit,2006,97186
Bahrain International Circuit,2007,100550
Bahrain International Circuit,2008,97601
Bahrain International Circuit,2009,97835
Bahrain International Circuit,2010,123995
Bahrain International Circuit,2012,101990
Bahrain International Circuit,2013,102526
Bahrain International Circuit,2014,105863
Bahrain International Circuit,2015,102143
Bahrain International Circuit,2016,100449
Bahrain International Circuit,2017,100056
Bahrain International Circuit,2018,98677
Bahrain International Circuit,2019,100356
Bahrain International Circuit,2020,89222
Bahrain International Circuit,2021,100323
Bahrain International Circuit,2022,103135
Bahrain International Circuit,2023,100446
Bahrain International Circuit,2024,98125
Baku City Circuit,2016,111348
Baku City Circuit,2017,149325
Baku City Circuit,2018,121717
Baku City Circuit,2019,110313
Baku City Circuit,2021,151572
Baku City Circuit,2022,112709
Baku City Circuit,2023,110503
Buddh International Circuit,2011,93231
Buddh International Circuit,2012,92968
Buddh International Circuit,2013,92784
Circuit Gilles Villeneuve,1996,85562
Circuit Gilles Villeneuve,1997,87192
Circuit Gilles Villeneuve,1998,91243
Circuit Gilles Villeneuve,1999,89516
Circuit Gilles Villeneuve,2000,88222
Circuit Gilles Villeneuve,2001,84127
Circuit Gilles Villeneuve,2002,81927
Circuit Gilles Villeneuve,2003,80029
Circuit Gilles Villeneuve,2004,77728
Circuit Gilles Villeneuve,2005,81664
Circuit Gilles Villeneuve,2006,83000
Circuit Gilles Villeneuve,2007,89094
Circuit Gilles Villeneuve,2008,83697
Circuit Gilles Villeneuve,2010,82746
Circuit Gilles Villeneuve,2011,220451
Circuit Gilles Villeneuve,2012,80305
Circuit Gilles Villeneuve,2013,80961
Circuit Gilles Villeneuve,2014,86273
Circuit Gilles Villeneuve,2015,80396
Circuit Gilles Villeneuve,2016,79754
Circuit Gilles Villeneuve,2017,81127
Circuit Gilles Villeneuve,2018,79538
Circuit Gilles Villeneuve,2019,78024
Circuit Gilles Villeneuve,2022,82985
Circuit Gilles Villeneuve,2023,81507
Circuit Gilles Villeneuve,2024,91458
Circuit Park Zandvoort,2021,77116
Circuit Park Zandvoort,2022,80961
Circuit Park Zandvoort,2023,117350
Circuit Park Zandvoort,2024,76828
Circuit Paul Ricard,2018,103985
Circuit Paul Ricard,2019,97772
Circuit Paul Ricard,2021,100616
Circuit Paul Ricard,2022,102989
Circuit de Barcelona-Catalunya,1996,113190
Circuit de Barcelona-Catalunya,1997,86331
Circuit de Barcelona-Catalunya,1998,88618
Circuit de Barcelona-Catalunya,1999,88876
Circuit de Barcelona-Catalunya,2000,88307
Circuit de Barcelona-Catalunya,2001,85841
Circuit de Barcelona-Catalunya,2002,85201
Circuit de Barcelona-Catalunya,2003,89376
Circuit de Barcelona-Catalunya,2004,81294
Circuit de Barcelona-Catalunya,2005,81753
Circuit de Barcelona-Catalunya,2006,80710
Circuit de Barcelona-Catalunya,2007,86263
Circuit de Barcelona-Catalunya,2008,91047
Circuit de Barcelona-Catalunya,2009,89879
Circuit de Barcelona-Catalunya,2010,89306
