circuit_name,race_year,avg_lap_time_in_ms
Albert Park Grand Prix Circuit,1996,99021
Albert Park Grand Prix Circuit,1997,96327
Albert Park Grand Prix Circuit,1998,97903
Albert Park Grand Prix Circuit,1999,102113
Albert Park Grand Prix Circuit,2000,99752
Albert Park Grand Prix Circuit,2001,104914
Albert Park Grand Prix Circuit,2002,107321
Albert Park Grand Prix Circuit,2003,99998
Albert Park Grand Prix Circuit,2004,90808
Albert Park Grand Prix Circuit,2005,90332
Albert Park Grand Prix Circuit,2006,101651
Albert Park Grand Prix Circuit,2007,90398
Albert Park Grand Prix Circuit,2008,98557
Albert Park Grand Prix Circuit,2009,97428
Albert Park Grand Prix Circuit,2010,101077
Albert Park Grand Prix Circuit,2011,94708
Albert Park Grand Prix Circuit,2012,97473
Albert Park Grand Prix Circuit,2013,94009
Albert Park Grand Prix Circuit,2014,99394
Albert Park Grand Prix Circuit,2015,96508
Albert Park Grand Prix Circuit,2016,100761
Albert Park Grand Prix Circuit,2017,90628
Albert Park Grand Prix Circuit,2018,92761
Albert Park Grand Prix Circuit,2019,89946
Albert Park Grand Prix Circuit,2022,91825
Albert Park Grand Prix Circuit,2023,98394
Albert Park Grand Prix Circuit,2024,83934
Autodromo Enzo e Dino Ferrari,1996,93191
Autodromo Enzo e Dino Ferrari,1997,90288
Autodromo Enzo e Dino Ferrari,1998,93980
Autodromo Enzo e Dino Ferrari,1999,93189
Autodromo Enzo e Dino Ferrari,2000,90918
Autodromo Enzo e Dino Ferrari,2001,90223
Autodromo Enzo e Dino Ferrari,2002,88293
Autodromo Enzo e Dino Ferrari,2003,86955
Autodromo Enzo e Dino Ferrari,2004,85243
Autodromo Enzo e Dino Ferrari,2005,86257
Autodromo Enzo e Dino Ferrari,2006,90414
Autodromo Enzo e Dino Ferrari,2020,83890
Autodromo Enzo e Dino Ferrari,2021,102226
Autodromo Enzo e Dino Ferrari,2022,88994
Autodromo Enzo e Dino Ferrari,2024,82591
Autodromo Internazionale del Mugello,2020,101915
Autodromo Nazionale di Monza,1996,90259
Autodromo Nazionale di Monza,1997,88593
Autodromo Nazionale di Monza,1998,90120
Autodromo Nazionale di Monza,1999,88681
Autodromo Nazionale di Monza,2000,103042
Autodromo Nazionale di Monza,2001,89274
Autodromo Nazionale di Monza,2002,88327
Autodromo Nazionale di Monza,2003,86474
Autodromo Nazionale di Monza,2004,86691
Autodromo Nazionale di Monza,2005,86136
Autodromo Nazionale di Monza,2006,86428
Autodromo Nazionale di Monza,2007,90796
Autodromo Nazionale di Monza,2008,99650
Autodromo Nazionale di Monza,2009,88049
Autodromo Nazionale di Monza,2010,88299
Autodromo Nazionale di Monza,2011,94842
Autodromo Nazionale di Monza,2012,91412
Autodromo Nazionale di Monza,2013,89848
Autodromo Nazionale di Monza,2014,91138
Autodromo Nazionale di Monza,2015,90240
Autodromo Nazionale di Monza,2016,89374
Autodromo Nazionale di Monza,2017,87308
Autodromo Nazionale di Monza,2018,88403
Autodromo Nazionale di Monza,2019,86946
Autodromo Nazionale di Monza,2020,120244
Autodromo Nazionale di Monza,2021,92688
Autodromo Nazionale di Monza,2022,91097
Autodromo Nazionale di Monza,2023,87644
Autodromo Nazionale di Monza,2024,85658
Autódromo Hermanos Rodríguez,2015,87090
Autódromo Hermanos Rodríguez,2016,86223
Autódromo Hermanos Rodríguez,2017,83023
Autódromo Hermanos Rodríguez,2018,85476
Autódromo Hermanos Rodríguez,2019,83312
Autódromo Hermanos Rodríguez,2021,85033
Autódromo Hermanos Rodríguez,2022,84828
Autódromo Hermanos Rodríguez,2023,104003
Autódromo Internacional do Algarve,2020,83428
Autódromo Internacional do Algarve,2021,86003
Autódromo José Carlos Pace,1996,96868
Autódromo José Carlos Pace,1997,81519
Autódromo José Carlos Pace,1998,82933
Autódromo José Carlos Pace,1999,82739
Autódromo José Carlos Pace,2000,78847
Autódromo José Carlos Pace,2001,85571
Autódromo José Carlos Pace,2002,80098
Autódromo José Carlos Pace,2003,104840
Autódromo José Carlos Pace,2004,76012
Autódromo José Carlos Pace,2005,78639
Autódromo José Carlos Pace,2006,79271
Autódromo José Carlos Pace,2007,76833
Autódromo José Carlos Pace,2008,80925
Autódromo José Carlos Pace,2009,79104
Autódromo José Carlos Pace,2010,80874
Autódromo José Carlos Pace,2011,79827
Autódromo José Carlos Pace,2012,89357
Autódromo José Carlos Pace,2013,79367
Autódromo José Carlos Pace,2014,76940
Autódromo José Carlos Pace,2015,78594
Autódromo José Carlos Pace,2016,155252
Autódromo José Carlos Pace,2017,76030
Autódromo José Carlos Pace,2018,74842
Autódromo José Carlos Pace,2019,78450
Autódromo José Carlos Pace,2021,78090
Autódromo José Carlos Pace,2022,83565
Autódromo José Carlos Pace,2023,98337
Autódromo Juan y Oscar Gálvez,1996,98447
Autódromo Juan y Oscar Gálvez,1997,95692
Autódromo Juan y Oscar Gálvez,1998,92766
Autódromo do Estoril,1996,88532
Bahrain International Circuit,2004,95388
Bahrain International Circuit,2005,96347
Bahrain International Circuit,2006,97186
Bahrain International Circuit,2007,100550
Bahrain International Circuit,2008,97601
Bahrain International Circuit,2009,97835
Bahrain International Circuit,2010,123995
Bahrain International Circuit,2012,101821
Bahrain International Circuit,2013,102208
Bahrain International Circuit,2014,105546
Bahrain International Circuit,2015,102008
Bahrain International Circuit,2016,100213
Bahrain International Circuit,2017,99888
Bahrain International Circuit,2018,98503
Bahrain International Circuit,2019,100164
Bahrain International Circuit,2020,88804
Bahrain International Circuit,2021,100266
Bahrain International Circuit,2022,102932
Bahrain International Circuit,2023,100280
Bahrain International Circuit,2024,97959
Baku City Circuit,2016,111121
Baku City Circuit,2017,148923
Baku City Circuit,2018,120889
Baku City Circuit,2019,110062
Baku City Circuit,2021,150013
Baku City Circuit,2022,112289
Baku City Circuit,2023,110144
Buddh International Circuit,2011,93005
Buddh International Circuit,2012,92824
Buddh International Circuit,2013,92651
Circuit Gilles Villeneuve,1996,85562
Circuit Gilles Villeneuve,1997,87192
Circuit Gilles Villeneuve,1998,91243
Circuit Gilles Villeneuve,1999,89516
Circuit Gilles Villeneuve,2000,88222
Circuit Gilles Villeneuve,2001,84127
Circuit Gilles Villeneuve,2002,81927
Circuit Gilles Villeneuve,2003,80029
Circuit Gilles Villeneuve,2004,77728
Circuit Gilles Villeneuve,2005,81664
Circuit Gilles Villeneuve,2006,83000
Circuit Gilles Villeneuve,2007,89094
Circuit Gilles Villeneuve,2008,83697
Circuit Gilles Villeneuve,2010,82746
Circuit Gilles Villeneuve,2011,225959
Circuit Gilles Villeneuve,2012,79953
Circuit Gilles Villeneuve,2013,80523
Circuit Gilles Villeneuve,2014,85874
Circuit Gilles Villeneuve,2015,80084
Circuit Gilles Villeneuve,2016,79278
Circuit Gilles Villeneuve,2017,80647
Circuit Gilles Villeneuve,2018,79203
Circuit Gilles Villeneuve,2019,77715
Circuit Gilles Villeneuve,2022,82391
Circuit Gilles Villeneuve,2023,80959
Circuit Gilles Villeneuve,2024,90638
Circuit Park Zandvoort,2021,77045
Circuit Park Zandvoort,2022,80010
Circuit Park Zandvoort,2023,95256
Circuit Park Zandvoort,2024,76757
Circuit Paul Ricard,2018,103266
Circuit Paul Ricard,2019,97311
Circuit Paul Ricard,2021,100191
Circuit Paul Ricard,2022,102159
Circuit de Barcelona-Catalunya,1996,113190
Circuit de Barcelona-Catalunya,1997,86331
Circuit de Barcelona-Catalunya,1998,88618
Circuit de Barcelona-Catalunya,1999,88876
Circuit de Barcelona-Catalunya,2000,88307
Circuit de Barcelona-Catalunya,2001,85841
Circuit de Barcelona-Catalunya,2002,85201
Circuit de Barcelona-Catalunya,2003,89376
Circuit de Barcelona-Catalunya,2004,81294
Circuit de Barcelona-Catalunya,2005,81753
Circuit de Barcelona-Catalunya,2006,80710
Circuit de Barcelona-Catalunya,2007,86263
Circuit de Barcelona-Catalunya,2008,91047
Circuit de Barcelona-Catalunya,2009,89879
Circuit de Barcelona-Catalunya,2010,89306
