estimate_id,class_id,created_at,currency_id,customer_id,department_id,due_date,exchange_rate,total_amount,transaction_date,transaction_status,_fivetran_deleted,source_relation
40085,,2021-01-18 23:34:30,USD,4953,,2021-01-18,,29690.0,2021-01-18,Accepted,false,""
40087,,2021-01-18 23:54:01,USD,5073,,2021-01-18,,77282.0,2021-01-18,Accepted,false,""
40079,,2021-01-18 23:09:42,USD,5121,,2021-01-18,,26564.0,2021-01-18,Accepted,false,""
40091,,2021-01-19 00:11:28,USD,4895,,2021-01-19,,34363.5,2021-01-18,Accepted,false,""
40083,,2021-01-18 23:22:28,USD,4547,,2021-01-18,,32645.0,2021-01-18,Accepted,false,""
40081,,2021-01-18 23:15:52,USD,4132,,2021-01-18,,28760.0,2021-01-18,Accepted,false,""
40089,,2021-01-19 00:05:10,USD,3226,,2021-01-19,,49442.0,2021-01-18,Accepted,false,""
40095,,2021-01-19 00:43:48,USD,4892,,2021-01-19,,27832.0,2021-01-18,Accepted,false,""
40093,,2021-01-19 00:24:12,USD,4536,,2021-01-19,,56661.5,2021-01-18,Accepted,false,""
40112,,2021-01-19 20:49:07,USD,4783,,2021-01-19,,56321.0,2021-01-19,Accepted,false,""
