transaction_id,source_relation,index,transaction_date,customer_id,vendor_id,amount,account_id,class_id,department_id,transaction_type,transaction_source
5783,"",0,2019-01-02,828,,29398.0,40,,,debit,payment
13866,"",0,2019-08-06,1041,,2500.0,40,,,debit,payment
11968,"",0,2019-06-25,834,,2250.0,40,,,debit,payment
11653,"",0,2019-06-11,1589,,11000.0,40,,,debit,payment
17125,"",0,2019-10-25,2024,,25379.0,40,,,debit,payment
5814,"",0,2019-01-03,827,,19960.0,40,,,debit,payment
5936,"",0,2019-01-07,698,,8324.1,40,,,debit,payment
20997,"",0,2019-12-30,2150,,403.25,40,,,debit,payment
10777,"",0,2019-05-14,858,,12853.0,40,,,debit,payment
16541,"",0,2019-10-09,2103,,15702.37,40,,,debit,payment
24458,"",0,2020-02-18,2496,,37784.0,40,,,debit,payment
5783,"",0,2019-01-02,828,,29398.0,,,,credit,payment
24458,"",0,2020-02-18,2496,,37784.0,,,,credit,payment
11968,"",0,2019-06-25,834,,2250.0,,,,credit,payment
5814,"",0,2019-01-03,827,,19960.0,,,,credit,payment
20997,"",0,2019-12-30,2150,,403.25,,,,credit,payment
10777,"",0,2019-05-14,858,,12853.0,,,,credit,payment
16541,"",0,2019-10-09,2103,,15702.37,,,,credit,payment
11653,"",0,2019-06-11,1589,,11000.0,,,,credit,payment
17125,"",0,2019-10-25,2024,,25379.0,,,,credit,payment
13866,"",0,2019-08-06,1041,,2500.0,,,,credit,payment
5936,"",0,2019-01-07,698,,8324.1,,,,credit,payment
