transaction_id,source_relation,index,transaction_date,customer_id,vendor_id,amount,account_id,class_id,department_id,transaction_type,transaction_source
107,"",0,2020-11-06,,18,77,,,1,credit,purchase
101,"",0,,,18,12,,,1,credit,purchase
103,"",0,,,18,32,,,1,credit,purchase
232,"",0,,,18,33,,,1,credit,purchase
228,"",0,,,18,44,,,2,credit,purchase
372,"",0,,,18,36,,,2,credit,purchase
190,"",0,,,18,39,,,1,credit,purchase
340,"",0,,,18,56,,,1,credit,purchase
342,"",0,,,,62,,,1,credit,purchase
350,"",0,,,18,21,,,1,credit,purchase
107,"",0,2020-11-06,,18,77,3,,1,debit,purchase
101,"",0,,,18,12,3,,1,debit,purchase
103,"",0,,,18,32,3,,1,debit,purchase
232,"",0,,,18,33,3,,1,debit,purchase
228,"",0,,,18,44,3,,2,debit,purchase
372,"",0,,,18,36,3,,2,debit,purchase
190,"",0,,,18,39,3,,1,debit,purchase
340,"",0,,,18,56,3,,1,debit,purchase
342,"",0,,,,62,3,,1,debit,purchase
350,"",0,,,18,21,3,,1,debit,purchase
